LENGTH_VALUES_COUNT=0
LENGTH_VALUES=
usage: c500_paged_decode_harness.py [-h] [--library LIBRARY] [--cases CASES]
                                    [--seed SEED]
                                    [--lengths {boundary,random,full}]
                                    [--length-values LENGTH_VALUES]
                                    [--full-length] [--benchmark]
                                    [--warmup WARMUP]
                                    [--iterations ITERATIONS]
                                    [--samples SAMPLES]
c500_paged_decode_harness.py: error: argument --length-values: length values must be comma-separated positive integers
EXIT=2

RETRY_GENERATION
LENGTH_VALUES_COUNT=238
LENGTH_VALUES=319,320,321,335,336,337,639,640,641,655,656,657,959,960,961,975,976,977,1279,1280,1281,1295,1296,1297,1599,1600,1601,1615,1616,1617,1919,1920,1921,1935,1936,1937,2239,2240,2241,2255,2256,2257,2559,2560,2561,2575,2576,2577,2879,2880,2881,2895,2896,2897,3199,3200,3201,3215,3216,3217,3519,3520,3521,3535,3536,3537,3839,3840,3841,3855,3856,3857,4159,4160,4161,4175,4176,4177,4479,4480,4481,4495,4496,4497,4799,4800,4801,4815,4816,4817,5119,5120,5121,5135,5136,5137,5439,5440,5441,5455,5456,5457,5759,5760,5761,5775,5776,5777,6079,6080,6081,6095,6096,6097,6399,6400,6401,6415,6416,6417,6719,6720,6721,6735,6736,6737,7039,7040,7041,7055,7056,7057,7359,7360,7361,7375,7376,7377,7679,7680,7681,7695,7696,7697,7999,8000,8001,8015,8016,8017,8319,8320,8321,8335,8336,8337,8639,8640,8641,8655,8656,8657,8959,8960,8961,8975,8976,8977,9279,9280,9281,9295,9296,9297,9599,9600,9601,9615,9616,9617,9919,9920,9921,9935,9936,9937,10239,10240,10241,10255,10256,10257,10559,10560,10561,10575,10576,10577,10879,10880,10881,10895,10896,10897,11199,11200,11201,11215,11216,11217,11519,11520,11521,11535,11536,11537,11839,11840,11841,11855,11856,11857,12159,12160,12161,12175,12176,12177,1,2,15,16,17,12239,12240,12241,12250,12251
GPU: MetaX C500 | torch=2.8.0+metax3.7.1.3
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9295 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9296 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9297 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.028 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9599 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9600 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9601 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9615 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9616 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.028 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9617 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9919 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9920 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9921 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9935 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9936 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:9937 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10239 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10240 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10241 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10255 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10256 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10257 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10559 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10560 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10561 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10575 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10576 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10577 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10879 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10880 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10881 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10895 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10896 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:10897 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11199 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11200 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11201 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11215 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11216 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11217 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11519 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11520 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11521 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11535 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11536 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11537 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11839 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11840 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11841 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11855 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11856 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:11857 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12159 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12160 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12161 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12175 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12176 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12177 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:1  match=1.000000 max_error=0.000000e+00 max_tol_ratio=0.000 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:2  match=1.000000 max_error=1.562500e-02 max_tol_ratio=0.326 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:15 match=1.000000 max_error=7.812500e-03 max_tol_ratio=0.244 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:16 match=1.000000 max_error=7.812500e-03 max_tol_ratio=0.243 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:17 match=1.000000 max_error=7.812500e-03 max_tol_ratio=0.244 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12239 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12240 match=1.000000 max_error=4.882812e-04 max_tol_ratio=0.029 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12241 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12250 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
[PASS] case 11 B=16 L=12251 KV=4 lengths=exact:12251 match=1.000000 max_error=2.441406e-04 max_tol_ratio=0.015 finite=True
RETRY_EXIT=0
